Parking_Name,Parking_Code,Latitude,Longitude,LMV_Capacity,LCV_Capacity,HMV_Capacity,Total_Capacity,Area_Lot
M/S nirmal Lifestyle,E-7,19.1768968,72.9594266,749.0,0.0,136.0,885.0,53770.0
M/S Vinita Estate,W-14,19.2396647,72.8479501,168.0,26.0,0.0,194.0,
Marathon (Chhaganlal Khimji),E-3,19.1706938,72.9435973,440.0,,,,22000.0
M/S Dura Tech,E-2,19.16951,72.9525028,192.0,,,192.0,9600.0
M/S Nirmal Lifestyle,E-8,19.166235,72.936941,1218.0,0.0,465.0,1683.0,116700.0
M/S Runwal Homes Pvt. Ltd.,E-15,19.1596483,72.944394,1152.0,0.0,117.0,1269.0,99297.7
M/S Runwal Developers Pvt. Ltd.,E-5,19.1813617,72.9468988,480.0,30.0,0.0,510.0,25950.0
M/S Ashford Infotech,E-19,19.1577008,72.9452648,254.0,0.0,36.0,289.0,16440.0
M/S Neptune Ventures,E-13,19.1426186,72.9298782,639.0,0.0,104.0,743.0,47468.0
M/S Lodha,E-6,19.1292046,72.9307915,402.0,0.0,0.0,402.0,19997.95
M/S Sripal Realty (Lodha),E-17,19.1182027,72.8906988,185.0,0.0,0.0,185.0,8800.0
M/S Wadhva,E-12,19.0989283,72.9189633,824.0,36.0,13.0,873.0,45100.0
M/S Central Marcantile (Kanakia),E-4,19.1136352,72.8922408,161.0,0.0,13.0,174.0,21031.0
M/S K D Patel,E-21,19.1120113,72.917499,486.0,68.0,0.0,554.0,28720.0
M/S Satellite Vijay Developers Pvt. Ltd. (Omkar),W-50,19.1317765,72.8565756,561.0,0.0,0.0,561.0,27939.92
M/S Patel Engineering Co. Ltd.,W-44,19.1417063,72.8445612,290.0,34.0,0.0,324.0,16710.0
M/S Nakta Investment Pvt. Ltd.,W-48,19.1414709,72.8326685,69.0,0.0,0.0,69.0,3450.0
M/S Runwal Developers Pvt. Ltd.,W-8,19.1413328,72.8285172,450.0,65.0,0.0,515.0,
M/S Kabra & Associates,W-47,19.1302827,72.8225142,144.0,0.0,0.0,144.0,7200.0
M/S Vardhaman Realtors,W-45,19.1612502,72.8502502,73.0,0.0,0.0,73.0,3597.03
M/S Ahuja Pvt. Ltd.,W-17,19.0654733,72.8294929,195.0,0.0,0.0,195.0,8483.96
M/S Pridehill Developers Pvt. Ltd.,W-7,19.0552527,72.8324043,92.0,0.0,0.0,92.0,4576.68
M/S Pranik Developers (Lodha),W-10,19.153778,72.8559688,982.0,20.0,21.0,1023.0,
M/S Neelkanth Tech Park,W-4,19.1078147,72.8835388,275.0,0.0,0.0,275.0,
M/S Rachna Astra,W-1,19.1634857,72.8466928,116.0,0.0,0.0,116.0,
M/S Romell Group,W-2,19.1697557,72.85325,306.0,0.0,0.0,306.0,
M/S HCC,W-16,19.1695904,72.8458665,227.0,0.0,0.0,227.0,
M/S Suyojna Impex,W-9,19.1658299,72.8515051,74.0,0.0,0.0,74.0,
M/S Oberoi Realty Ltd.,W-29,19.1704423,72.8612622,3500.0,0.0,132.0,3632.0,190840.0
M/S D B realty,W-5,19.1782256,72.844722,376.0,0.0,116.0,492.0,
M/S Rockford Developer Pvt. Ltd.,W-12,19.1112263,72.8735593,250.0,0.0,0.0,250.0,
M/S Ultraspace Developer Ltd.,W-19,19.0723097,72.8678091,409.0,0.0,0.0,409.0,
M/S Cloud Nine,W-20,19.0707271,72.8633802,80.0,0.0,0.0,80.0,
M/S Oberoi Realty,W-28,19.1395609,72.8642827,673.0,0.0,0.0,673.0,
M/S Shraddha Sheltors,W-27,19.0563965,72.8360793,102.0,0.0,0.0,102.0,
M/S TATA Housing,W-40,19.1151737,72.8453182,309.0,15.0,0.0,324.0,
M/S Zennia Enterprises,W-46,19.1404455,72.8445076,205.0,48.0,5.0,258.0,
M/S Dynacraft Machine,W-39,19.1375704,72.861983,99.0,82.0,111.0,292.0,
M/S Neepa Real Estate,W-21,19.1169977,72.883435,1282.0,210.0,25.0,1517.0,80720.0
M/S Swayam Realtors & Traders PPL,C-54,18.9740792,72.8308539,1280.0,0.0,0.0,1280.0,64000.0
M/S Lodha (Apollo mill),C-5,18.9868055,72.8293991,817.0,0.0,30.0,847.0,40413.35
M/S Genext Hardware & Parks Pvt. Ltd.(Raheja),C-4,18.9775835,72.8249928,258.0,1316.0,5.0,1597.0,
M/S Neelkamal Realtors,C-9,18.9777443,72.8262401,923.0,0.0,0.0,923.0,34262.1
M/S Neel Kamal Realtors & Builders Pvt. Ltd. (D B Realty),C-26,18.9680598,72.8235487,626.0,210.0,0.0,836.0,59940.76
M/S Simplex Mills,C-32,18.9801796,72.8305104,100.0,0.0,0.0,100.0,7990.0
M/S Mafatlal Mills,C-53,18.9788988,72.8405161,1635.0,0.0,0.0,1635.0,81510.0
M/S Kathawala Realtors,C69,18.9640672,72.8283843,279.0,100.0,0.0,379.0,20450.0
M/S Goodtime Real Estate Development Pvt. Ltd. (Penninsula),C-74,18.9825995,72.8356467,409.0,62.0,15.0,486.0,26280.0
M/S Suryodaya Estate,C-13,18.9717845,72.8146433,747.0,0.0,12.0,759.0,38790.0
M/S Rubberwala & Neo Ventures,C-21,18.9712533,72.8146684,152.0,0.0,0.0,152.0,7600.0
M/S Marine Drive Hospitality & Realty Pvt. Ltd.,C-71,18.9507799,72.8214436,779.0,24.0,4.0,807.0,40990.0
M/S Rubberwala,C-20,18.9608775,72.8241726,79.0,223.0,0.0,302.0,
M/S HBS (Vellard View CHS),C-65,18.9766056,72.8114927,235.0,0.0,0.0,235.0,11750.0
M/S Lodha,C-58,18.9681848,72.8102249,204.0,0.0,0.0,204.0,20251.04
M/S Goodwill Theaters Pvt. Ltd. (Novelty Cinema),C-48,18.9621518,72.8183029,160.0,0.0,0.0,160.0,7965.72
M/S Runwal Township Pvt. Ltd.,C-49,18.9512693,72.7967095,58.0,0.0,0.0,58.0,6150.0
M/S Hilton Infrastructure,C-44,18.9628682,72.8242368,220.0,112.0,0.0,332.0,
M/S Lodha,C-6,19.0042865,72.8296232,4328.0,0.0,237.0,4565.0,244932.01
M/S D B Realty,C-8,18.9864185,72.8242105,385.0,0.0,0.0,385.0,16455.0
M/S K. Raheja,C-3,19.0081249,72.8214244,794.0,9.0,0.0,803.0,33119.24
M/S Lodha,C-16,19.0019508,72.8286533,3856.0,0.0,0.0,3856.0,237033.1
